threshold,evaluated_count,true_danger,missed_danger,false_danger,true_safe,danger_recall,safe_recall,balanced_accuracy,decision_margin
0,311,114,0,197,0,1,0,0.5,3.97554421234988e-11
0.001,311,114,0,194,3,1,0.0152284263959391,0.50761421319797,0.000152885069332903
0.002,311,114,0,186,11,1,0.0558375634517767,0.527918781725888,1.6158670568259e-05
0.003,311,114,0,176,21,1,0.106598984771574,0.553299492385787,6.98411082162881e-05
0.004,311,114,0,166,31,1,0.157360406091371,0.578680203045685,2.6109511355038e-06
0.005,311,114,0,141,56,1,0.284263959390863,0.642131979695431,4.90268204290933e-07
0.006,311,114,0,124,73,1,0.370558375634518,0.685279187817259,1.8662869267173e-05
0.007,311,114,0,106,91,1,0.461928934010152,0.730964467005076,1.04868712490179e-05
0.008,311,114,0,95,102,1,0.517766497461929,0.758883248730964,0.000141038086489511
0.009,311,114,0,88,109,1,0.553299492385787,0.776649746192893,0.000140630778186325
0.01,311,114,0,80,117,1,0.593908629441624,0.796954314720812,1.140501862942e-05
0.011,311,114,0,72,125,1,0.634517766497462,0.817258883248731,4.26595895307216e-05
0.012,311,114,0,67,130,1,0.65989847715736,0.82994923857868,5.32271537194064e-05
0.013,311,114,0,61,136,1,0.690355329949239,0.845177664974619,0.000248082001457452
0.014,311,114,0,58,139,1,0.705583756345178,0.852791878172589,0.000566335834712359
0.015,311,114,0,58,139,1,0.705583756345178,0.852791878172589,0.00153663651312669
0.016,311,114,0,58,139,1,0.705583756345178,0.852791878172589,0.000536636513126687
0.017,311,114,0,55,142,1,0.720812182741117,0.860406091370558,0.000368236289100751
0.018,311,114,0,55,142,1,0.720812182741117,0.860406091370558,0.000300658991268424
0.019,311,114,0,53,144,1,0.730964467005076,0.865482233502538,5.07839688353579e-05
0.02,311,114,0,51,146,1,0.741116751269036,0.870558375634518,0.000401621318600963
0.021,311,114,0,51,146,1,0.741116751269036,0.870558375634518,0.000533984412161799
0.022,311,114,0,50,147,1,0.746192893401015,0.873096446700508,0.000466015587838198
0.023,311,114,0,50,147,1,0.746192893401015,0.873096446700508,0.0014660155878382
0.024,311,114,0,50,147,1,0.746192893401015,0.873096446700508,0.000820242143174194
0.025,311,114,0,49,148,1,0.751269035532995,0.875634517766497,0.000179757856825807
0.026,311,114,0,48,149,1,0.756345177664975,0.878172588832487,0.000516786441699703
0.027,311,114,0,48,149,1,0.756345177664975,0.878172588832487,0.0015167864416997
0.028,311,114,0,48,149,1,0.756345177664975,0.878172588832487,0.000698866763419605
0.029,311,114,0,47,150,1,0.761421319796954,0.880710659898477,0.000301133236580396
0.03,311,114,0,45,152,1,0.771573604060914,0.885786802030457,0.00041498077050995
0.031,311,114,0,45,152,1,0.771573604060914,0.885786802030457,0.00141498077050995
0.032,311,114,0,45,152,1,0.771573604060914,0.885786802030457,0.00241498077050995
0.033,311,114,0,45,152,1,0.771573604060914,0.885786802030457,0.00340335126579638
0.034,311,114,0,45,152,1,0.771573604060914,0.885786802030457,0.00240335126579638
0.035,311,114,0,45,152,1,0.771573604060914,0.885786802030457,0.00140335126579638
0.036,311,114,0,45,152,1,0.771573604060914,0.885786802030457,0.000403351265796381
0.037,311,114,0,43,154,1,0.781725888324873,0.890862944162436,0.000374230381300925
0.038,311,114,0,43,154,1,0.781725888324873,0.890862944162436,0.000645555417263362
0.039,311,114,0,42,155,1,0.786802030456853,0.893401015228426,0.000354444582736639
0.04,311,114,0,42,155,1,0.786802030456853,0.893401015228426,0.000698820904896154
0.041,311,114,0,41,156,1,0.791878172588833,0.895939086294416,0.000301179095103847
0.042,311,114,0,41,156,1,0.791878172588833,0.895939086294416,0.00130117909510385
0.043,311,114,0,41,156,1,0.791878172588833,0.895939086294416,0.000834281620706818
0.044,311,114,0,39,158,1,0.802030456852792,0.901015228426396,0.000147086168318884
0.045,311,114,0,39,158,1,0.802030456852792,0.901015228426396,0.000331804350147569
0.046,311,114,0,38,159,1,0.807106598984772,0.903553299492386,3.70213843687711e-05
0.047,311,114,0,36,161,1,0.817258883248731,0.908629441624365,0.000305445656762368
0.048,311,114,0,36,161,1,0.817258883248731,0.908629441624365,0.000695679130640552
0.049,311,114,0,35,162,1,0.822335025380711,0.911167512690355,0.000245788547131663
0.05,311,114,0,33,164,1,0.83248730964467,0.916243654822335,0.000643784433421349
0.051,311,114,0,33,164,1,0.83248730964467,0.916243654822335,0.00164378443342135
0.052,311,114,0,33,164,1,0.83248730964467,0.916243654822335,0.00264378443342135
0.053,311,114,0,33,164,1,0.83248730964467,0.916243654822335,0.00208256952138749
0.054,311,114,0,33,164,1,0.83248730964467,0.916243654822335,0.00108256952138749
0.055,311,114,0,33,164,1,0.83248730964467,0.916243654822335,8.25695213874864e-05
0.056,311,114,0,32,165,1,0.83756345177665,0.918781725888325,0.000917430478612515
0.057,311,114,0,32,165,1,0.83756345177665,0.918781725888325,0.000157853171100515
0.058,311,114,0,31,166,1,0.842639593908629,0.921319796954315,0.000842146828899486
0.059,311,114,0,31,166,1,0.842639593908629,0.921319796954315,0.000654572937338609
0.06,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.000345427062661385
0.061,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.00134542706266139
0.062,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.00234542706266139
0.063,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.00334542706266139
0.064,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.00434542706266139
0.065,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.00352527752600715
0.066,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.00252527752600715
0.067,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.00152527752600715
0.068,311,114,0,30,167,1,0.847715736040609,0.923857868020305,0.000525277526007145
0.069,311,114,0,29,168,1,0.852791878172589,0.926395939086294,0.000474722473992856
0.07,311,114,0,28,169,1,0.857868020304569,0.928934010152284,0.000344190841743627
0.071,311,114,0,28,169,1,0.857868020304569,0.928934010152284,0.00134419084174363
0.072,311,114,0,28,169,1,0.857868020304569,0.928934010152284,0.000347592578477954
0.073,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.000652407421522033
0.074,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00165240742152203
0.075,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00265240742152204
0.076,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00365240742152204
0.077,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00465240742152204
0.078,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00565240742152204
0.079,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00630723288969758
0.08,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00530723288969757
0.081,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00430723288969757
0.082,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00330723288969757
0.083,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00230723288969757
0.084,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00130723288969757
0.085,311,114,0,27,170,1,0.862944162436548,0.931472081218274,0.00030723288969757
0.086,311,114,0,26,171,1,0.868020304568528,0.934010152284264,0.000692767110302431
0.087,311,114,0,26,171,1,0.868020304568528,0.934010152284264,0.00117525050277467
0.088,311,114,0,26,171,1,0.868020304568528,0.934010152284264,0.000175250502774685
0.089,311,114,0,25,172,1,0.873096446700508,0.936548223350254,0.000824749497225316
0.09,311,114,0,25,172,1,0.873096446700508,0.936548223350254,0.00182474949722532
0.091,311,114,0,25,172,1,0.873096446700508,0.936548223350254,0.0013323597910877
0.092,311,114,0,25,172,1,0.873096446700508,0.936548223350254,0.0003323597910877
0.093,311,114,0,24,173,1,0.878172588832487,0.939086294416244,0.000667640208912301
0.094,311,114,0,24,173,1,0.878172588832487,0.939086294416244,0.00105004944343633
0.095,311,114,0,24,173,1,0.878172588832487,0.939086294416244,5.00494434363258e-05
0.096,311,114,0,22,175,1,0.888324873096447,0.944162436548223,1.47815540820218e-05
0.097,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00101478155408202
0.098,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00201478155408202
0.099,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00301478155408202
0.1,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00401478155408203
0.101,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00501478155408203
0.102,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00601478155408203
0.103,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00701478155408203
0.104,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00704607088890502
0.105,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00604607088890503
0.106,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00504607088890503
0.107,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00404607088890503
0.108,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00304607088890503
0.109,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00204607088890503
0.11,311,114,0,22,175,1,0.888324873096447,0.944162436548223,0.00104607088890503
0.111,311,114,0,22,175,1,0.888324873096447,0.944162436548223,4.60708889050282e-05
0.112,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.000152855071043886
0.113,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.00115285507104389
0.114,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.00215285507104389
0.115,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.00315285507104389
0.116,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.00415285507104389
0.117,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.00417235298055903
0.118,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.00317235298055903
0.119,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.00217235298055903
0.12,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.00117235298055904
0.121,311,114,0,20,177,1,0.898477157360406,0.949238578680203,0.000172352980559037
0.122,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.000827647019440964
0.123,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00182764701944096
0.124,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00282764701944097
0.125,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00382764701944097
0.126,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00482764701944097
0.127,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00582764701944097
0.128,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00682764701944097
0.129,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00782764701944097
0.13,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00824948124413932
0.131,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00724948124413932
0.132,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00624948124413932
0.133,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00524948124413932
0.134,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00424948124413932
0.135,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00324948124413932
0.136,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00224948124413932
0.137,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.00124948124413932
0.138,311,114,0,19,178,1,0.903553299492386,0.951776649746193,0.000249481244139316
0.139,311,114,0,18,179,1,0.908629441624365,0.954314720812183,0.000249969438668396
0.14,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.000750030561331605
0.141,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.00175003056133161
0.142,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.00275003056133161
0.143,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.00375003056133161
0.144,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.00475003056133161
0.145,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.00575003056133158
0.146,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.00675003056133158
0.147,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.00775003056133158
0.148,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.0076133358594698
0.149,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.0066133358594698
0.15,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.0056133358594698
0.151,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.0046133358594698
0.152,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.0036133358594698
0.153,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.0026133358594698
0.154,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.00161333585946979
0.155,311,114,0,17,180,1,0.913705583756345,0.956852791878173,0.000613335859469794
0.156,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.000386664140530207
